ID,city,timestamp,weather,temp,wind,humidity,barometer,visibility
Assir-2017-1-1-00:00,Assir,2017-01-01 00:00:00,Clear ,12,7,100%,1026.0,16
Assir-2017-1-1-01:00,Assir,2017-01-01 01:00:00,Clear ,12,7,88%,1026.0,16
Assir-2017-1-1-02:00,Assir,2017-01-01 02:00:00,Clear ,12,7,82%,1026.0,16
Assir-2017-1-1-03:00,Assir,2017-01-01 03:00:00,Clear ,11,7,88%,1026.0,16
Assir-2017-1-1-04:00,Assir,2017-01-01 04:00:00,Clear ,11,6,88%,1026.0,16
Assir-2017-1-1-05:00,Assir,2017-01-01 05:00:00,Clear ,11,7,88%,1026.0,16
Assir-2017-1-1-06:00,Assir,2017-01-01 06:00:00,Clear ,10,0,94%,1026.0,16
Assir-2017-1-1-07:00,Assir,2017-01-01 07:00:00,Sunny ,9,7,94%,1026.0,16
Assir-2017-1-1-08:00,Assir,2017-01-01 08:00:00,Sunny ,10,0,88%,1027.0,16
Assir-2017-1-1-09:00,Assir,2017-01-01 09:00:00,Sunny ,16,11,59%,1028.0,16
Assir-2017-1-1-10:00,Assir,2017-01-01 10:00:00,Sunny ,18,13,40%,1028.0,16
Assir-2017-1-1-11:00,Assir,2017-01-01 11:00:00,Sunny ,21,20,31%,1027.0,16
Assir-2017-1-1-12:00,Assir,2017-01-01 12:00:00,Sunny ,22,13,27%,1026.0,16
Assir-2017-1-1-13:00,Assir,2017-01-01 13:00:00,Sunny ,22,22,29%,1025.0,16
Assir-2017-1-1-14:00,Assir,2017-01-01 14:00:00,Sunny ,22,19,25%,1024.0,16
Assir-2017-1-1-15:00,Assir,2017-01-01 15:00:00,Passing clouds ,22,19,25%,1024.0,-1
Assir-2017-1-1-16:00,Assir,2017-01-01 16:00:00,Passing clouds ,20,19,43%,1024.0,-1
Assir-2017-1-1-17:00,Assir,2017-01-01 17:00:00,Passing clouds ,20,15,43%,1025.0,-1
Assir-2017-1-1-18:00,Assir,2017-01-01 18:00:00,Clear ,17,17,59%,1025.0,16
Assir-2017-1-1-19:00,Assir,2017-01-01 19:00:00,Clear ,17,7,59%,1025.0,16
Assir-2017-1-1-20:00,Assir,2017-01-01 20:00:00,Clear ,16,7,72%,1026.0,16
Assir-2017-1-1-21:00,Assir,2017-01-01 21:00:00,Clear ,15,7,72%,1026.0,16
Assir-2017-1-1-22:00,Assir,2017-01-01 22:00:00,Clear ,14,7,88%,1026.0,16
Assir-2017-1-1-23:00,Assir,2017-01-01 23:00:00,Clear ,14,7,82%,1026.0,16
Assir-2017-1-2-00:00,Assir,2017-01-02 00:00:00,Clear ,13,7,88%,1026.0,16
Assir-2017-1-2-01:00,Assir,2017-01-02 01:00:00,Clear ,13,7,88%,1026.0,16
Assir-2017-1-2-02:00,Assir,2017-01-02 02:00:00,Clear ,12,0,88%,1026.0,16
Assir-2017-1-2-05:00,Assir,2017-01-02 05:00:00,Clear ,11,6,77%,1026.0,16
Assir-2017-1-2-07:00,Assir,2017-01-02 07:00:00,Sunny ,10,7,88%,1027.0,16
Assir-2017-1-2-08:00,Assir,2017-01-02 08:00:00,Sunny ,13,6,77%,1028.0,16
Assir-2017-1-2-09:00,Assir,2017-01-02 09:00:00,Sunny ,16,7,68%,1028.0,16
Assir-2017-1-2-10:00,Assir,2017-01-02 10:00:00,Sunny ,20,19,46%,1028.0,16
Assir-2017-1-2-11:00,Assir,2017-01-02 11:00:00,Sunny ,22,30,27%,1027.0,16
Assir-2017-1-2-12:00,Assir,2017-01-02 12:00:00,Sunny ,22,26,31%,1027.0,16
Assir-2017-1-2-13:00,Assir,2017-01-02 13:00:00,Sunny ,23,30,23%,1026.0,16
Assir-2017-1-2-14:00,Assir,2017-01-02 14:00:00,Sunny ,23,22,20%,1025.0,16
Assir-2017-1-2-15:00,Assir,2017-01-02 15:00:00,Passing clouds ,23,19,31%,1025.0,-1
