ID,city,timestamp,weather,temp,wind,humidity,barometer,visibility
Qassim-2017-1-1-00:00,Qassim,2017-01-01 00:00:00,Clear ,17,11,64%,1018.0,16
Qassim-2017-1-1-01:00,Qassim,2017-01-01 01:00:00,Clear ,17,6,64%,1018.0,16
Qassim-2017-1-1-03:00,Qassim,2017-01-01 03:00:00,Clear ,15,11,72%,1019.0,16
Qassim-2017-1-1-04:00,Qassim,2017-01-01 04:00:00,Clear ,15,11,72%,1019.0,16
Qassim-2017-1-1-05:00,Qassim,2017-01-01 05:00:00,Clear ,15,9,72%,1019.0,16
Qassim-2017-1-1-06:00,Qassim,2017-01-01 06:00:00,Clear ,13,13,82%,1019.0,16
Qassim-2017-1-1-07:00,Qassim,2017-01-01 07:00:00,Sunny ,12,7,88%,1019.0,16
Qassim-2017-1-1-08:00,Qassim,2017-01-01 08:00:00,Sunny ,14,9,72%,1021.0,16
Qassim-2017-1-1-09:00,Qassim,2017-01-01 09:00:00,Sunny ,15,9,72%,1021.0,7
Qassim-2017-1-1-10:00,Qassim,2017-01-01 10:00:00,Sunny ,17,7,64%,1021.0,9
Qassim-2017-1-1-11:00,Qassim,2017-01-01 11:00:00,Sunny ,19,19,64%,1021.0,7
Qassim-2017-1-1-12:00,Qassim,2017-01-01 12:00:00,Sunny ,20,19,60%,1020.0,16
Qassim-2017-1-1-13:00,Qassim,2017-01-01 13:00:00,Sunny ,21,15,57%,1020.0,16
Qassim-2017-1-1-14:00,Qassim,2017-01-01 14:00:00,Sunny ,22,15,53%,1019.0,16
Qassim-2017-1-1-15:00,Qassim,2017-01-01 15:00:00,Sunny ,23,15,50%,1018.0,16
Qassim-2017-1-1-16:00,Qassim,2017-01-01 16:00:00,Sunny ,22,22,53%,1018.0,16
Qassim-2017-1-1-17:00,Qassim,2017-01-01 17:00:00,Sunny ,20,20,46%,1018.0,16
Qassim-2017-1-1-18:00,Qassim,2017-01-01 18:00:00,Clear ,19,19,49%,1019.0,16
Qassim-2017-1-1-19:00,Qassim,2017-01-01 19:00:00,Clear ,17,19,56%,1019.0,16
Qassim-2017-1-1-20:00,Qassim,2017-01-01 20:00:00,Clear ,16,22,59%,1020.0,16
Qassim-2017-1-1-21:00,Qassim,2017-01-01 21:00:00,Clear ,16,20,63%,1020.0,16
Qassim-2017-1-1-22:00,Qassim,2017-01-01 22:00:00,Clear ,15,19,68%,1020.0,16
Qassim-2017-1-1-23:00,Qassim,2017-01-01 23:00:00,Clear ,14,15,72%,1020.0,16
Qassim-2017-1-2-00:00,Qassim,2017-01-02 00:00:00,Clear ,14,13,77%,1020.0,16
Qassim-2017-1-2-01:00,Qassim,2017-01-02 01:00:00,Clear ,13,13,77%,1020.0,16
Qassim-2017-1-2-02:00,Qassim,2017-01-02 02:00:00,Clear ,12,9,88%,1020.0,16
Qassim-2017-1-2-03:00,Qassim,2017-01-02 03:00:00,Clear ,11,9,82%,1019.0,16
Qassim-2017-1-2-04:30,Qassim,2017-01-02 04:30:00,Clear ,10,9,88%,1019.0,16
Qassim-2017-1-2-05:00,Qassim,2017-01-02 05:00:00,Clear ,9,17,87%,1020.0,16
Qassim-2017-1-2-06:00,Qassim,2017-01-02 06:00:00,Clear ,10,4,88%,1019.0,16
Qassim-2017-1-2-07:00,Qassim,2017-01-02 07:00:00,Sunny ,9,7,87%,1019.0,16
Qassim-2017-1-2-08:00,Qassim,2017-01-02 08:00:00,Sunny ,10,9,88%,1020.0,16
Qassim-2017-1-2-09:00,Qassim,2017-01-02 09:00:00,Scattered clouds ,12,15,82%,1020.0,-1
Qassim-2017-1-2-10:00,Qassim,2017-01-02 10:00:00,Scattered clouds ,15,7,72%,1020.0,-1
Qassim-2017-1-2-11:00,Qassim,2017-01-02 11:00:00,Scattered clouds ,18,7,60%,1020.0,-1
Qassim-2017-1-2-12:00,Qassim,2017-01-02 12:00:00,Scattered clouds ,20,4,56%,1019.0,-1
Qassim-2017-1-2-13:00,Qassim,2017-01-02 13:00:00,Scattered clouds ,22,4,50%,1018.0,-1
Qassim-2017-1-2-14:00,Qassim,2017-01-02 14:00:00,Scattered clouds ,23,7,47%,1017.0,-1
Qassim-2017-1-2-15:00,Qassim,2017-01-02 15:00:00,Scattered clouds ,24,7,44%,1016.0,-1
Qassim-2017-1-2-16:00,Qassim,2017-01-02 16:00:00,Scattered clouds ,24,9,44%,1016.0,-1
Qassim-2017-1-2-17:00,Qassim,2017-01-02 17:00:00,Partly sunny ,23,4,44%,1017.0,-1
Qassim-2017-1-2-18:00,Qassim,2017-01-02 18:00:00,Passing clouds ,22,7,47%,1017.0,-1
Qassim-2017-1-2-19:00,Qassim,2017-01-02 19:00:00,Passing clouds ,20,7,53%,1017.0,-1
Qassim-2017-1-2-20:00,Qassim,2017-01-02 20:00:00,Passing clouds ,19,9,56%,1018.0,-1
Qassim-2017-1-2-21:00,Qassim,2017-01-02 21:00:00,Clear ,18,7,56%,1017.0,16
Qassim-2017-1-2-22:00,Qassim,2017-01-02 22:00:00,Clear ,18,7,56%,1018.0,16
Qassim-2017-1-2-23:00,Qassim,2017-01-02 23:00:00,Clear ,17,11,56%,1018.0,16
Qassim-2017-1-3-00:00,Qassim,2017-01-03 00:00:00,Clear ,15,15,59%,1018.0,16
Qassim-2017-1-3-01:00,Qassim,2017-01-03 01:00:00,Clear ,14,20,59%,1018.0,16
Qassim-2017-1-3-02:00,Qassim,2017-01-03 02:00:00,Clear ,14,11,63%,1019.0,16
Qassim-2017-1-3-03:00,Qassim,2017-01-03 03:00:00,Clear ,13,15,63%,1019.0,16
Qassim-2017-1-3-04:00,Qassim,2017-01-03 04:00:00,Clear ,12,22,63%,1019.0,16
